İlan No,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş,Araç Durumu,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Takasa Uygun,Kimden,Fiyat,Ağır Hasarlı,Motor Gücü (kW),Batarya Voltajı (V),Menzil,Şarj Süresi,Pil Kapasitesi (kWh),Plaka Uyruğu
Kopyalandı30612004,30 Haziran 2025,Fiat,Egea,1.3 Multijet Easy,2023,73.500 km,Düz,Dizel,Sedan,Beyaz,1248 cc,95 hp,Önden Çekiş,İkinci El,"4,1 lt",50 lt,2 boyalı,Takasa Uygun Değil,Galeriden,860.000 TL,,,,,,,
Kopyalandı30577245,30 Haziran 2025,Hyundai,i20,1.4 MPI Style,2018,126.500 km,Otomatik,Benzin,Hatchback/5,Füme,1368 cc,100 hp,Önden Çekiş,İkinci El,"6,4 lt",50 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,910.000 TL,,,,,,,
Kopyalandı30611272,30 Haziran 2025,Renault,R 9,1.4 Broadway RN,1999,401.000 km,Düz,LPG & Benzin,Sedan,Gri,1390 cc,83 hp,Önden Çekiş,İkinci El,,47 lt,Tamamı orjinal,Takasa Uygun,Sahibinden,240.000 TL,,,,,,,
Kopyalandı30611555,30 Haziran 2025,Renault,Megane,1.5 dCi Touch,2017,245.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1461 cc,110 hp,Önden Çekiş,İkinci El,"3,8 lt",49 lt,"2 değişen, 6 boyalı",Takasa Uygun,Galeriden,799.900 TL,,,,,,,
Kopyalandı30611503,30 Haziran 2025,Mercedes - Benz,C,C 200 d BlueTEC AMG,2017,94.000 km,Otomatik,Dizel,Sedan,Füme,1598 cc,136 hp,Arkadan İtiş,İkinci El,"4,2 lt",41 lt,Tamamı orjinal,,Sahibinden,2.350.000 TL,,,,,,,
Kopyalandı30611428,30 Haziran 2025,Renault,Megane,1.3 TCe Joy,2020,85.000 km,Yarı Otomatik,Benzin,Sedan,Beyaz,1332 cc,140 hp,Önden Çekiş,İkinci El,"5,7 lt",50 lt,Tamamı orjinal,,Sahibinden,1.200.000 TL,,,,,,,
Kopyalandı30611268,30 Haziran 2025,Skoda,SuperB,1.6 TDI Prestige,2016,158.350 km,Yarı Otomatik,Dizel,Sedan,Siyah,1598 cc,120 hp,Önden Çekiş,İkinci El,"4,1 lt",66 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,1.520.000 TL,,,,,,,
Kopyalandı30595415,30 Haziran 2025,Audi,A3,A3 Sportback 1.6 TDI Sport Line,2016,198.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,110 hp,Önden Çekiş,İkinci El,"3,8 lt",50 lt,Belirtilmemiş,,Sahibinden,1.200.000 TL,,,,,,,
Kopyalandı30591948,30 Haziran 2025,Mercedes - Benz,C,C 180 Kompressor BlueEFFICIENCY AMG,2011,152.000 km,Otomatik,Benzin,Sedan,Siyah,1597 cc,156 hp,Arkadan İtiş,İkinci El,"6,5 lt",66 lt,"1 değişen, 2 boyalı",,Sahibinden,1.200.000 TL,,,,,,,
Kopyalandı30577188,30 Haziran 2025,Renault,Clio,1.2 Authentique,2010,182.000 km,Düz,LPG & Benzin,Hatchback/5,Kahverengi,1149 cc,75 hp,Önden Çekiş,İkinci El,"5,9 lt",55 lt,Belirtilmemiş,,Sahibinden,450.000 TL,,,,,,,
Kopyalandı30573519,30 Haziran 2025,Fiat,Egea,1.3 Multijet Easy Plus,2021,162.000 km,Düz,Dizel,Sedan,Beyaz,1248 cc,95 hp,Önden Çekiş,İkinci El,"4,1 lt",50 lt,1 değişen,Takasa Uygun Değil,Sahibinden,730.000 TL,,,,,,,
Kopyalandı29112429,30 Haziran 2025,Honda,City,1.5 i-VTEC Executive,2021,62.000 km,Otomatik,Benzin,Sedan,Beyaz,1498 cc,121 hp,Önden Çekiş,İkinci El,"6,2 lt",40 lt,3 değişen,,Sahibinden,998.000 TL,,,,,,,
Kopyalandı30576584,30 Haziran 2025,Peugeot,206+,1.4 Comfort,2010,163.500 km,Düz,LPG & Benzin,Hatchback/5,Gri,1360 cc,76 hp,Önden Çekiş,İkinci El,"6,3 lt",50 lt,"1 değişen, 4 boyalı",,Sahibinden,405.000 TL,,,,,,,
Kopyalandı30611966,30 Haziran 2025,BMW,1 Serisi,116i Comfort,2014,168.000 km,Otomatik,Benzin,Hatchback/5,Kırmızı,1401 - 1600 cm3,126 - 150 HP,Arkadan İtiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,955.000 TL,,,,,,,
Kopyalandı30611382,30 Haziran 2025,Volkswagen,Jetta,1.6 Tour,2009,625.000 km,Düz,LPG & Benzin,Sedan,Gri,1595 cc,102 hp,Önden Çekiş,İkinci El,"7,4 lt",55 lt,Belirtilmemiş,Takasa Uygun,Galeriden,499.900 TL,,,,,,,
Kopyalandı30577186,30 Haziran 2025,Renault,Clio,1.0 TCe Icon,2021,59.000 km,Otomatik,Benzin,Hatchback/5,Beyaz,999 cc,90 hp,Önden Çekiş,İkinci El,5 lt,42 lt,1 boyalı,,Sahibinden,1.050.000 TL,,,,,,,
Kopyalandı30577037,30 Haziran 2025,Opel,Astra,1.3 CDTI Enjoy,2008,230.500 km,Düz,Dizel,Sedan,Gri (metalik),1248 cc,90 hp,Önden Çekiş,İkinci El,"5,1 lt",52 lt,"1 değişen, 2 boyalı",,Sahibinden,435.000 TL,Evet,,,,,,
Kopyalandı30577034,30 Haziran 2025,Smart,ForTwo,0.7 Passion,2007,178.000 km,Otomatik,Benzin,Coupe,Yeşil,698 cc,61 hp,Arkadan İtiş,İkinci El,"4,7 lt",33 lt,Belirtilmemiş,,Sahibinden,350.000 TL,,,,,,,
Kopyalandı30576374,30 Haziran 2025,Renault,Clio,1.5 dCi Authentique,2007,248.000 km,Düz,Dizel,Hatchback/5,Gri,1461 cc,65 hp,Önden Çekiş,İkinci El,"4,9 lt",55 lt,8 boyalı,Takasa Uygun Değil,Sahibinden,400.000 TL,,,,,,,
Kopyalandı29127156,30 Haziran 2025,Peugeot,307,1.6 Pack,2005,224.000 km,Otomatik,LPG & Benzin,Station wagon,Gri (Gümüş),1587 cc,110 hp,Önden Çekiş,İkinci El,"8,2 lt",60 lt,5 boyalı,Takasa Uygun,Sahibinden,395.000 TL,,,,,,,
Kopyalandı28960804,30 Haziran 2025,Ford,Ka,1.3,1999,88.000 km,Düz,LPG & Benzin,Hatchback/3,Kırmızı,1297 cc,60 hp,Önden Çekiş,İkinci El,"5,9 lt",42 lt,"1 değişen, 6 boyalı",,Sahibinden,195.000 TL,,,,,,,
Kopyalandı30611726,30 Haziran 2025,Opel,Astra,1.6 Edition,2015,251.000 km,Düz,LPG & Benzin,Hatchback/5,Beyaz,1598 cc,115 hp,Önden Çekiş,İkinci El,"6,6 lt",56 lt,Tamamı orjinal,Takasa Uygun,Galeriden,690.000 TL,,,,,,,
Kopyalandı30577099,30 Haziran 2025,Volkswagen,Golf,1.6 TDi BlueMotion Midline Plus,2015,199.770 km,Düz,Dizel,Hatchback/5,Beyaz,1598 cc,90 hp,Önden Çekiş,İkinci El,"3,8 lt",50 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,850.000 TL,,,,,,,
Kopyalandı30577068,30 Haziran 2025,Peugeot,206,1.4 XR,2000,245.000 km,Düz,Benzin,Hatchback/5,Gri,1360 cc,76 hp,Önden Çekiş,İkinci El,"6,6 lt",50 lt,4 değişen,,Sahibinden,260.000 TL,,,,,,,
Kopyalandı30577057,30 Haziran 2025,Volkswagen,Polo,1.2 TSi Lounge,2015,115.000 km,Yarı Otomatik,Benzin,Hatchback/5,Mavi (metalik),1197 cc,90 hp,Önden Çekiş,İkinci El,"4,7 lt",45 lt,Belirtilmemiş,,Sahibinden,815.000 TL,,,,,,,
Kopyalandı30577043,30 Haziran 2025,Fiat,Palio,1.2 EL,2001,296.000 km,Düz,LPG & Benzin,Hatchback/5,Beyaz,1242 cc,74 hp,Önden Çekiş,İkinci El,"7,2 lt",51 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,255.000 TL,,,,,,,
Kopyalandı30576915,30 Haziran 2025,Volkswagen,Bora,1.6 Pacific,2005,225.500 km,Otomatik,LPG & Benzin,Sedan,Mavi (metalik),1595 cc,102 hp,Önden Çekiş,İkinci El,"8,1 lt",55 lt,Belirtilmemiş,,Sahibinden,395.000 TL,,,,,,,
Kopyalandı30576903,30 Haziran 2025,Honda,Civic,1.6 i-VTEC ECO Elegance,2018,128.000 km,Yarı Otomatik,LPG & Benzin,Sedan,Beyaz,1597 cc,125 hp,Önden Çekiş,İkinci El,"6,7 lt",47 lt,"2 değişen, 2 boyalı",,Sahibinden,1.112.000 TL,,,,,,,
Kopyalandı29208245,30 Haziran 2025,Citroen,Saxo,1.4 SX,2000,270.000 km,Düz,LPG & Benzin,Hatchback/5,Gri,1360 cc,76 hp,Önden Çekiş,İkinci El,"6,8 lt",45 lt,Belirtilmemiş,,Sahibinden,199.000 TL,,,,,,,
Kopyalandı27999323,30 Haziran 2025,Renault,Symbol,1.2 Authentique,2011,172.000 km,Düz,Benzin,Sedan,Gri,1149 cc,75 hp,Önden Çekiş,İkinci El,"5,9 lt",50 lt,2 değişen,,Sahibinden,380.000 TL,,,,,,,
Kopyalandı30609577,30 Haziran 2025,Mercedes - Benz,A,A 180 d AMG,2016,135.000 km,Otomatik,Dizel,Hatchback/5,Beyaz,,,,İkinci El,,,1 boyalı,,Sahibinden,1.475.000 TL,,,,,,,
Kopyalandı28411851,30 Haziran 2025,Peugeot,206,1.6 Roland Garros,2000,237.000 km,Düz,LPG & Benzin,Hatchback/5,Yeşil (metalik),1587 cc,110 hp,Önden Çekiş,İkinci El,"6,4 lt",50 lt,Tamamı boyalı,Takasa Uygun,Sahibinden,300.000 TL,,,,,,,
Kopyalandı27520728,30 Haziran 2025,Toyota,Corolla,1.6 Linea Sol,2002,305.000 km,Otomatik,LPG & Benzin,Sedan,Kırmızı,1598 cc,110 hp,Önden Çekiş,İkinci El,"7,9 lt",55 lt,"1 değişen, 7 boyalı",Takasa Uygun,Sahibinden,485.000 TL,,,,,,,
Kopyalandı30611896,30 Haziran 2025,Opel,Astra,1.6 Edition Plus,2016,131.000 km,Düz,Benzin,Sedan,Kahverengi,1598 cc,115 hp,Önden Çekiş,İkinci El,"6,5 lt",56 lt,"1 değişen, 1 boyalı",Takasa Uygun,Galeriden,785.000 TL,,,,,,,
Kopyalandı30611890,30 Haziran 2025,Opel,Corsa,1.4 Enjoy,2016,6.700 km,Otomatik,Benzin,Hatchback/5,Beyaz,1201 - 1400 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,979.000 TL,,,,,,,
Kopyalandı30611889,30 Haziran 2025,Citroen,C3,1.2 PureTech Shine,2020,17.500 km,Otomatik,Benzin,Hatchback/5,Beyaz,1200 cm3' e kadar,101 - 125 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,1.055.000 TL,,,,,,,
Kopyalandı30611869,30 Haziran 2025,Toyota,Corolla,1.6 Dream,2020,76.000 km,Otomatik,Benzin,Sedan,Mavi,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun Değil,Galeriden,1.395.000 TL,,,,,,,
Kopyalandı30611867,30 Haziran 2025,Alfa Romeo,MiTo,1.4 T MultiAir,2012,183.000 km,Otomatik,Benzin,Hatchback/3,Beyaz,1201 - 1400 cm3,126 - 150 HP,Önden Çekiş,İkinci El,,,6 boyalı,Takasa Uygun,Galeriden,739.950 TL,,,,,,,
Kopyalandı30611866,30 Haziran 2025,Tata,Indica,1.4 TDI Trend,2006,232.000 km,Düz,Dizel,Hatchback/5,Gri,1405 cc,70 hp,Önden Çekiş,İkinci El,8 lt,37 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,165.950 TL,,,,,,,
Kopyalandı30611865,30 Haziran 2025,Mercedes - Benz,E,180 AMG,2013,73.000 km,Otomatik,Benzin,Sedan,Beyaz,1401 - 1600 cm3,151 - 175 HP,Arkadan İtiş,İkinci El,,,1 boyalı,Takasa Uygun,Galeriden,2.299.000 TL,,,,,,,
Kopyalandı30611863,30 Haziran 2025,Opel,Astra,1.6 CDTI Enjoy Active,2015,172.000 km,Düz,Dizel,Hatchback/5,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,Belirtilmemiş,Takasa Uygun,Galeriden,799.000 TL,,,,,,,
Kopyalandı30611860,30 Haziran 2025,Volkswagen,Polo,1.4 Comfortline,2001,190.000 km,Düz,Benzin,Hatchback/5,Gri,1201 - 1400 cm3,51 - 75 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun Değil,Galeriden,333.750 TL,,,,,,,
Kopyalandı30611859,30 Haziran 2025,Peugeot,307,1.6 XR,2002,365.000 km,Düz,Benzin,Hatchback/5,Mavi,1587 cc,110 hp,Önden Çekiş,İkinci El,"7,2 lt",60 lt,"1 değişen, 1 boyalı",Takasa Uygun Değil,Galeriden,299.000 TL,,,,,,,
Kopyalandı30611857,30 Haziran 2025,Fiat,Linea,1.6 Multijet Dynamic,2009,233.000 km,Düz,Dizel,Sedan,Füme,1598 cc,105 hp,Önden Çekiş,İkinci El,5 lt,45 lt,"1 değişen, 8 boyalı",Takasa Uygun,Galeriden,430.000 TL,,,,,,,
Kopyalandı30611855,30 Haziran 2025,BMW,M Serisi,M5,2014,92.000 km,Otomatik,Benzin,Sedan,Lacivert,4001 - 4500 cm3,551 - 575 HP,Arkadan İtiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,3.175.000 TL,,,,,,,
Kopyalandı30611649,30 Haziran 2025,Toyota,Corolla,1.33 Life,2017,795.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1329 cc,99 hp,Önden Çekiş,İkinci El,"5,8 lt",55 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,455.000 TL,,,,,,,
Kopyalandı30610860,30 Haziran 2025,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2017,103.000 km,Düz,Dizel,Sedan,Beyaz,1598 cc,120 hp,Önden Çekiş,İkinci El,4 lt,66 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,1.420.000 TL,,,,,,,
Kopyalandı30610674,30 Haziran 2025,Audi,A3,A3 Sportback 1.2 TFSI Ambiente,2016,75.500 km,Yarı Otomatik,Benzin,Hatchback/5,Beyaz,1197 cc,110 hp,Önden Çekiş,İkinci El,"4,8 lt",50 lt,2 boyalı,,Sahibinden,1.250.000 TL,,,,,,,
Kopyalandı30607626,30 Haziran 2025,Skoda,Scala,1.6 TDI Premium,2020,122.000 km,Yarı Otomatik,Dizel,Hatchback/5,Füme,1598 cc,115 hp,Önden Çekiş,İkinci El,"4,1 lt",50 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,1.195.000 TL,,,,,,,
Kopyalandı30607338,30 Haziran 2025,Toyota,Corolla,1.8 Hybrid Dream,2020,138.000 km,Otomatik,Hibrit,Sedan,Beyaz,1798 cc,98 hp,Önden Çekiş,İkinci El,"3,5 lt",43 lt,"1 değişen, 2 boyalı",,Sahibinden,1.170.000 TL,,,,,,,
Kopyalandı30602560,30 Haziran 2025,Volkswagen,Passat,1.4 TSi BlueMotion Highline,2011,285.000 km,Otomatik,Benzin,Sedan,Beyaz,,,,İkinci El,,,5 boyalı,,Sahibinden,1.195.000 TL,,,,,,,
Kopyalandı30599613,30 Haziran 2025,Skoda,Octavia,1.6 TDI Optimal,2016,149.000 km,Düz,Dizel,Hatchback/5,Siyah,1598 cc,110 hp,Önden Çekiş,İkinci El,"3,8 lt",50 lt,3 boyalı,,Sahibinden,1.175.000 TL,,,,,,,
Kopyalandı30599069,30 Haziran 2025,Volkswagen,Passat,2.0 TDi BlueMotion Highline,2013,265.000 km,Yarı Otomatik,Dizel,Sedan,Siyah,1968 cc,140 hp,Önden Çekiş,İkinci El,"5,2 lt",70 lt,"1 değişen, 1 boyalı",Takasa Uygun,Sahibinden,1.200.000 TL,,,,,,,
Kopyalandı30599057,30 Haziran 2025,Renault,Megane,1.5 dCi Touch,2018,178.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1461 cc,110 hp,Önden Çekiş,İkinci El,"3,8 lt",49 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,1.200.000 TL,,,,,,,
Kopyalandı30596380,30 Haziran 2025,BMW,3 Serisi,320i ED Edition,2015,191.500 km,Otomatik,Benzin,Sedan,Füme,1598 cc,170 hp,Arkadan İtiş,İkinci El,"5,4 lt",60 lt,"1 değişen, 4 boyalı",,Sahibinden,1.160.000 TL,,,,,,,
Kopyalandı30596196,30 Haziran 2025,Renault,Megane,1.5 Blue DCI Joy Comfort,2021,104.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1461 cc,115 hp,Önden Çekiş,İkinci El,"4,1 lt",49 lt,1 değişen,Takasa Uygun,Sahibinden,1.195.000 TL,,,,,,,
Kopyalandı30595345,30 Haziran 2025,Seat,Leon,1.2 TSI Style,2017,75.000 km,Yarı Otomatik,Benzin,Hatchback/5,Beyaz,1197 cc,110 hp,Önden Çekiş,İkinci El,"4,9 lt",50 lt,Tamamı orjinal,,Sahibinden,1.175.000 TL,,,,,,,
Kopyalandı30595030,30 Haziran 2025,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2016,280.000 km,Yarı Otomatik,Dizel,Sedan,Siyah,1598 cc,120 hp,Önden Çekiş,İkinci El,4 lt,66 lt,6 boyalı,Takasa Uygun,Sahibinden,1.200.000 TL,,,,,,,
Kopyalandı30591720,30 Haziran 2025,Renault,Megane,1.3 TCe Joy,2020,23.170 km,Düz,Benzin,Sedan,Beyaz,1332 cc,140 hp,Önden Çekiş,İkinci El,"5,5 lt",50 lt,Tamamı orjinal,,Sahibinden,1.170.000 TL,,,,,,,
Kopyalandı30591671,30 Haziran 2025,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2016,262.000 km,Yarı Otomatik,Dizel,Sedan,Gri (Gümüş),1598 cc,120 hp,Önden Çekiş,İkinci El,4 lt,66 lt,2 boyalı,Takasa Uygun Değil,Sahibinden,1.200.000 TL,,,,,,,
Kopyalandı30588405,30 Haziran 2025,Renault,Megane,1.5 dCi Icon,2017,155.000 km,Yarı Otomatik,Dizel,Hatchback/5,Mavi,1461 cc,110 hp,Önden Çekiş,İkinci El,"3,7 lt",47 lt,1 boyalı,,Sahibinden,1.170.000 TL,,,,,,,
Kopyalandı30586860,30 Haziran 2025,Toyota,Auris,1.6 Advance Skypack,2017,88.111 km,Otomatik,LPG & Benzin,Hatchback/5,Beyaz,1598 cc,132 hp,Önden Çekiş,İkinci El,"6,1 lt",50 lt,"2 değişen, 4 boyalı",Takasa Uygun,Sahibinden,1.170.000 TL,,,,,,,
Kopyalandı30585688,30 Haziran 2025,Volkswagen,Polo,1.0 TSi Comfortline,2021,68.500 km,Yarı Otomatik,Benzin,Hatchback/5,Beyaz,999 cc,95 hp,Önden Çekiş,İkinci El,"4,6 lt",40 lt,Tamamı orjinal,,Sahibinden,1.175.000 TL,,,,,,,
Kopyalandı30585126,30 Haziran 2025,Volvo,S60,1.5 T3 Advance,2016,179.000 km,Otomatik,Benzin,Sedan,Füme,1498 cc,152 hp,Önden Çekiş,İkinci El,"5,8 lt",67 lt,2 boyalı,,Sahibinden,1.190.000 TL,,,,,,,
Kopyalandı30583038,30 Haziran 2025,Renault,Megane,1.5 dCi Touch,2018,114.000 km,Yarı Otomatik,Dizel,Sedan,Gri (metalik),1461 cc,110 hp,Önden Çekiş,İkinci El,"3,8 lt",49 lt,Tamamı orjinal,,Sahibinden,1.170.000 TL,,,,,,,
Kopyalandı30581880,30 Haziran 2025,Honda,Civic,1.6 i-DTEC Executive,2018,94.000 km,Düz,Dizel,Sedan,Beyaz,1597 cc,120 hp,Önden Çekiş,İkinci El,"3,4 lt",46 lt,3 boyalı,,Sahibinden,1.175.000 TL,,,,,,,
Kopyalandı30578899,30 Haziran 2025,Mercedes - Benz,A,A 180 CDI BlueEFFICIENCY AMG,2015,204.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1461 cc,109 hp,Önden Çekiş,İkinci El,"4,4 lt",50 lt,7 boyalı,,Sahibinden,1.195.000 TL,,,,,,,
Kopyalandı30576951,30 Haziran 2025,Volkswagen,Golf,1.2 TSi Comfortline,2015,86.000 km,Yarı Otomatik,Benzin,Hatchback/5,Mavi (metalik),1197 cc,110 hp,Önden Çekiş,İkinci El,"4,9 lt",50 lt,1 değişen,Takasa Uygun Değil,Sahibinden,1.075.000 TL,,,,,,,
Kopyalandı30576841,30 Haziran 2025,Renault,Clio,0.9 TCe Touch,2019,34.500 km,Düz,Benzin,Hatchback/5,Kırmızı,898 cc,90 hp,Önden Çekiş,İkinci El,5 lt,45 lt,Tamamı orjinal,,Sahibinden,755.000 TL,,,,,,,
Kopyalandı29963906,30 Haziran 2025,Hyundai,i20,1.4 MPI Jump,2023,93.000 km,Otomatik,Benzin,Hatchback/5,Beyaz,1201 - 1400 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,5 boyalı,Takasa Uygun,Galeriden,958.750 TL,,,,,,,
Kopyalandı30610115,30 Haziran 2025,Fiat,Linea,1.3 Multijet Active,2010,252.500 km,Düz,Dizel,Sedan,Gri (Gümüş),1248 cc,90 hp,Önden Çekiş,İkinci El,"4,9 lt",45 lt,10 boyalı,-,Sahibinden,375.000 TL,,,,,,,
Kopyalandı30611851,30 Haziran 2025,Honda,Civic,1.6 i-VTEC Eco Executive,2019,85.000 km,Otomatik,Benzin,Sedan,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,1 boyalı,Takasa Uygun,Galeriden,1.435.000 TL,,,,,,,
Kopyalandı30611850,30 Haziran 2025,Mercedes - Benz,S,S 500 500 L,2015,230.000 km,Otomatik,Benzin,Sedan,Siyah,4501 - 5000 cm3,451 - 475 HP,4WD (Sürekli),İkinci El,,,Tamamı orjinal,Takasa Uygun Değil,Galeriden,7.885.000 TL,,,,,,,
Kopyalandı30611847,30 Haziran 2025,Ford,Focus,1.6 TDCi Style,2016,246.405 km,Düz,Dizel,Sedan,Beyaz,1560 cc,115 hp,Önden Çekiş,İkinci El,"4,5 lt",55 lt,10 boyalı,Takasa Uygun,Galeriden,715.000 TL,,,,,,,
Kopyalandı30611843,30 Haziran 2025,Opel,Meriva,1.3 CDTI Enjoy,2012,190.000 km,Düz,Dizel,MPV,Gri,1248 cc,75 hp,Önden Çekiş,İkinci El,"4,9 lt",54 lt,6 boyalı,Takasa Uygun Değil,Galeriden,519.500 TL,,,,,,,
Kopyalandı30611841,30 Haziran 2025,BMW,3 Serisi,328i Sport Line,2012,255.300 km,Otomatik,Benzin,Sedan,Beyaz,1801 - 2000 cm3,226 - 250 HP,Arkadan İtiş,İkinci El,,,11 boyalı,Takasa Uygun,Galeriden,1.255.000 TL,,,,,,,
Kopyalandı30611833,30 Haziran 2025,Volkswagen,VW CC,2.0 TDi Exclusive,2015,274.000 km,Otomatik,Dizel,Coupe,Siyah,1801 - 2000 cm3,176 - 200 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun Değil,Galeriden,1.168.000 TL,,,,,,,
Kopyalandı30611831,30 Haziran 2025,Opel,Corsa,1.3 CDTI Enjoy,2016,106.000 km,Düz,Dizel,Hatchback/5,Beyaz,1248 cc,75 hp,Önden Çekiş,İkinci El,"3,8 lt",45 lt,7 boyalı,Takasa Uygun,Galeriden,695.000 TL,,,,,,,
Kopyalandı30611792,30 Haziran 2025,BMW,5 Serisi,520d Executive Plus,2016,240.000 km,Otomatik,Dizel,Sedan,Gri,1995 cc,190 hp,Arkadan İtiş,İkinci El,"4,1 lt",70 lt,7 boyalı,Takasa Uygun,Galeriden,1.875.000 TL,,,,,,,
Kopyalandı30611532,30 Haziran 2025,Renault,Clio,1.0 TCe Touch,2021,37.000 km,Otomatik,Benzin,Hatchback/5,Kırmızı,999 cc,90 hp,Önden Çekiş,İkinci El,5 lt,42 lt,"1 değişen, 1 boyalı",Takasa Uygun Değil,Galeriden,945.000 TL,,,,,,,
Kopyalandı30610628,30 Haziran 2025,Ford,Focus,1.5 Ti-VCT Trend X,2020,25.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1497 cc,123 hp,Önden Çekiş,İkinci El,"5,8 lt",52 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,1.250.000 TL,,,,,,,
Kopyalandı29254789,30 Haziran 2025,Opel,Corsa,1.2 Twinport Essentia,2005,250.000 km,Yarı Otomatik,Benzin,Hatchback/5,Gri (Gümüş),1229 cc,80 hp,Önden Çekiş,İkinci El,6 lt,44 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,400.000 TL,,,,,,,
Kopyalandı30610777,30 Haziran 2025,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2018,160.000 km,Yarı Otomatik,Dizel,Sedan,Gri (titanyum),1598 cc,120 hp,Önden Çekiş,İkinci El,4 lt,66 lt,Tamamı orjinal,,Sahibinden,1.465.000 TL,,,,,,,
Kopyalandı30609469,30 Haziran 2025,Renault,Clio,1.0 TCe Techno Esprit Alpine,2024,6.800 km,Otomatik,Benzin,Hatchback/5,Gri,,,,İkinci El,,,Tamamı orjinal,,Sahibinden,1.350.000 TL,,,,,,,
Kopyalandı30576874,30 Haziran 2025,Hyundai,Excel,1.5 GLS,1994,284.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1468 cc,71 hp,Önden Çekiş,İkinci El,,45 lt,Belirtilmemiş,,Sahibinden,155.000 TL,,,,,,,
Kopyalandı30576581,30 Haziran 2025,Skoda,Scala,1.6 TDI Premium,2020,210.000 km,Otomatik,Dizel,Hatchback/5,Mavi (metalik),,,,İkinci El,,,1 değişen,,Sahibinden,1.000.000 TL,,,,,,,
Kopyalandı30571301,30 Haziran 2025,Ford,Fiesta,1.5 TDCi Titanium,2013,185.000 km,Düz,Dizel,Hatchback/5,Beyaz,1498 cc,75 hp,Önden Çekiş,İkinci El,"3,7 lt",42 lt,Belirtilmemiş,,Sahibinden,645.000 TL,,,,,,,
Kopyalandı27757301,30 Haziran 2025,Fiat,Egea,1.4 Fire Easy Plus,2023,15.750 km,Düz,Benzin,Sedan,Mavi,1368 cc,95 hp,Önden Çekiş,İkinci El,"6,4 lt",45 lt,Belirtilmemiş,,Sahibinden,834.999 TL,,,,,,,
Kopyalandı30611632,30 Haziran 2025,Fiat,Albea,Sole 1.4 Fire Active Plus,2010,260.570 km,Düz,Benzin,Sedan,Beyaz,1368 cc,77 hp,Önden Çekiş,İkinci El,"6,2 lt",48 lt,"2 değişen, 8 boyalı",Takasa Uygun,Galeriden,309.000 TL,,,,,,,
Kopyalandı30604479,30 Haziran 2025,Volkswagen,Golf,1.5 TSi Impression,2024,15.000 km,Düz,Benzin,Hatchback/5,Gri,1498 cc,116 hp,Önden Çekiş,İkinci El,"5,4 lt",51 lt,Tamamı orjinal,,Sahibinden,1.475.000 TL,,,,,,,
Kopyalandı30576500,30 Haziran 2025,Kia,Rio,1.25 CVVT Fancy,2013,133.000 km,Düz,Benzin,Hatchback/5,Beyaz,1248 cc,85 hp,Önden Çekiş,İkinci El,"5,1 lt",43 lt,"1 değişen, 3 boyalı",,Sahibinden,530.000 TL,,,,,,,
